kda,most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,rank_lp
10.1/4.9/7.8,Jungler,Wins: 111 (64.9%),7.519999999999999,491.14000000000004,Sunatalp#0184,Master 33 LP
7.6/5.7/6.5,Mid,Wins: 72 (60.0%),7.2,443.78000000000003,Talli#Lemon,GrandMaster 242 LP
5.6/4.3/6.4,Mid,Wins: 112 (51.9%),7.4,425.64,fidelis custos#xeh,Master 77 LP
7.7/5.7/6.8,Mid,Wins: 158 (51.1%),7.58,472.82,final chapter#close,GrandMaster 237 LP
7.2/5.1/7.2,AD Carry,Wins: 158 (57.0%),8.34,476.2,Levitate#1v9,Challenger 850 LP
5.2/4.0/8.9,AD Carry,Wins: 55 (56.1%),5.68,444.32,bork#3079,Master 81 LP
6.7/5.5/8.3,Jungler,Wins: 89 (49.2%),6.2,458.4599999999999,MIT EECS#AI DM,Diamond I 5 LP
2.6/6.0/11.9,Support,Wins: 133 (51.2%),2.36,324.3,rmdljet#jsmn,GrandMaster 247 LP
7.1/3.6/4.9,Top,Wins: 82 (64.1%),8.040000000000001,514.08,never type#1998,Master 184 LP
3.9/5.9/5.8,Top,Wins: 95 (54.3%),6.42,417.5,선惡과#띠 용,Master 272 LP
6.3/6.2/6.2,Top,Wins: 328 (51.2%),7.360000000000001,462.91999999999996,Masquerade Asuna#Yuuki,Challenger 667 LP
6.8/4.1/8.5,Jungler,Wins: 46 (63.9%),6.4399999999999995,433.52,나는 고발한다#정글러,GrandMaster 359 LP
7.0/4.8/7.5,Mid,Wins: 144 (51.2%),6.9799999999999995,481.74000000000007,小熊软糖#Cattt,Challenger 191 LP
6.1/4.8/6.9,Mid,Wins: 180 (52.5%),7.24,430.71999999999997,iybc9o2q#iybc9,GrandMaster 394 LP
7.2/5.1/7.2,AD Carry,Wins: 158 (57.0%),8.34,476.2,Levitate#1v9,Challenger 850 LP
6.4/4.0/6.3,AD Carry,Wins: 52 (63.4%),7.779999999999999,477.53999999999996,Gen Anchovy#TWIG,Master 229 LP
5.3/4.3/8.3,AD Carry,Wins: 161 (52.6%),6.6,430.58000000000004,소년가장 원딜#2000,GrandMaster 275 LP
6.8/4.7/7.7,Mid,Wins: 119 (62.6%),7.779999999999999,454.26000000000005,flocon#FRK,Challenger 1154 LP
3.5/3.5/8.5,Top,Wins: 222 (50.0%),4.68,348.21999999999997,Bornn Again#Ornn,Master 103 LP
7.1/3.6/4.9,Top,Wins: 82 (64.1%),8.040000000000001,514.08,never type#1998,Master 184 LP
10.1/4.2/6.4,Jungler,Wins: 61 (59.2%),7.7,492.6,U invade I int#NA1,Master 129 LP
6.9/4.5/7.6,Jungler,Wins: 112 (56.6%),5.64,507.66,NDJ#NA2,GrandMaster 448 LP
5.3/5.9/7.0,Mid,Wins: 404 (50.9%),6.480000000000001,399.46000000000004,Scaling is OP#NA1,GrandMaster 432 LP
5.8/5.1/6.4,Mid,Wins: 61 (58.7%),7.480000000000001,421.82,애니비아#艾尼维亚,Master 119 LP
6.5/4.8/7.3,AD Carry,Wins: 101 (53.8%),7.58,450.16,M5 CS#0005,Master 73 LP
6.8/5.8/7.2,AD Carry,Wins: 94 (52.5%),6.8,433.9,Jerebleu#NA1,Diamond I 71 LP
1.8/3.5/12.7,Support,Wins: 126 (50.6%),0.9400000000000001,279.54,Love Lulu#NA2,Master 51 LP
3.0/4.9/11.8,Support,Wins: 117 (49.0%),1.0,298.0,Meeps#TRV,Master 46 LP
7.1/3.6/4.9,Top,Wins: 82 (64.1%),8.040000000000001,514.08,never type#1998,Master 184 LP
3.8/5.0/8.7,Top,Wins: 131 (56.0%),3.7499999999999996,296.90000000000003,Paklaiton#NA1,Challenger 640 LP
6.8/4.1/8.5,Jungler,Wins: 46 (63.9%),6.4399999999999995,433.52,나는 고발한다#정글러,GrandMaster 359 LP
8.8/5.0/7.5,Jungler,Wins: 130 (59.0%),7.2,495.2,kano#chama,GrandMaster 333 LP
5.6/4.2/7.2,Mid,Wins: 142 (51.6%),6.38,423.15999999999997,Manivia#E175,Master 142 LP
7.1/4.7/7.3,Mid,Wins: 111 (61.3%),7.540000000000001,471.2,小山丘#6572,Challenger 598 LP
7.5/6.0/7.5,AD Carry,Wins: 142 (57.3%),7.5,470.17999999999995,Seishiro Nagi#2002,GrandMaster 405 LP
6.8/5.0/7.1,AD Carry,Wins: 104 (53.9%),7.5200000000000005,447.56000000000006,refugo#4526,Master 233 LP
2.2/4.7/13.2,Support,Wins: 259 (50.9%),0.9400000000000001,295.34000000000003,Beep#Heart,GrandMaster 245 LP
3.6/4.8/12.7,Support,Wins: 47 (64.4%),1.2000000000000002,316.48,IamaNewby#NA1,Master 0 LP
5.1/4.2/5.5,Top,Wins: 87 (60.8%),7.44,423.03999999999996,抖音薇信tonytoppwd#pwdd,GrandMaster 535 LP
5.9/4.4/5.7,Top,Wins: 153 (54.1%),7.7,453.53999999999996,Dhokla#NA1,GrandMaster 567 LP
7.4/5.1/8.7,Jungler,Wins: 48 (56.5%),5.720000000000001,452.4,superfastmonkey#NA1,Master 39 LP
7.5/4.8/8.3,Jungler,Wins: 104 (59.8%),7.159999999999999,474.74000000000007,Dino Nugget#Eris,GrandMaster 522 LP
8.9/5.6/8.2,Jungler,Wins: 137 (63.0%),8.88,527.8199999999999,eDATERSgg#6969,Challenger 773 LP
7.0/6.0/7.5,Mid,Wins: 232 (54.6%),6.9799999999999995,449.48,Delights Garden#TTV,GrandMaster 427 LP
5.8/5.6/8.2,AD Carry,Wins: 216 (51.7%),4.46,381.3,a daydreamer#MK1,GrandMaster 426 LP
2.7/5.6/12.4,Support,Wins: 96 (56.1%),2.8,333.05999999999995,Cinnamoroll#Candy,Master 271 LP
2.1/5.1/12.8,Support,Wins: 162 (53.5%),5.24,392.46,Capta1n Peace#GGs,Challenger 447 LP
3.5/5.4/14.1,Support,Wins: 102 (58.6%),1.3800000000000001,310.08000000000004,TheJakourt#8888,GrandMaster 533 LP
5.1/4.2/5.5,Top,Wins: 87 (60.8%),7.44,423.03999999999996,抖音薇信tonytoppwd#pwdd,GrandMaster 535 LP
5.9/4.4/5.7,Top,Wins: 153 (54.1%),7.7,453.53999999999996,Dhokla#NA1,GrandMaster 567 LP
8.6/5.7/7.6,Jungler,Wins: 112 (56.9%),6.94,467.86,Tabipowi#6191,Master 206 LP
6.3/5.2/7.6,Jungler,Wins: 131 (55.3%),7.340000000000001,419.96000000000004,lolfc1#NA1,GrandMaster 319 LP
8.0/4.9/5.7,Mid,Wins: 96 (57.5%),8.14,455.58000000000004,City of Tears#NA2,GrandMaster 303 LP
6.2/5.2/7.6,Mid,Wins: 86 (60.6%),7.06,421.9200000000001,sweeho#999,GrandMaster 539 LP
7.1/6.2/5.8,AD Carry,Wins: 118 (55.4%),7.26,463.2,Yabyinda#lovie,GrandMaster 482 LP
8.1/5.1/6.9,AD Carry,Wins: 82 (55.4%),7.3,442.95,LL TRIGGER#55555,Master 221 LP
3.3/4.9/11.8,Support,Wins: 51 (58.6%),2.4799999999999995,335.74,FrostedCupcake#8103,Master 142 LP
2.7/5.5/11.4,Support,Wins: 158 (54.3%),2.2399999999999998,325.8,Sabo#0000,Master 217 LP
5.9/4.4/5.7,Top,Wins: 153 (54.1%),7.7,453.53999999999996,Dhokla#NA1,GrandMaster 567 LP
7.6/3.7/5.4,Top,Wins: 81 (73.0%),8.0,472.62,support come top#NA2,Challenger 1104 LP
6.4/4.8/9.8,Jungler,Wins: 156 (56.9%),6.340000000000001,440.58000000000004,Icelandic Hero#ice,Challenger 842 LP
6.7/4.2/7.6,Jungler,Wins: 166 (54.4%),6.659999999999999,444.4,Breathe#fear,Challenger 473 LP
5.4/5.5/7.4,Mid,Wins: 139 (53.7%),5.08,391.6,last 6#NA1,GrandMaster 441 LP
3.0/5.3/13.4,Support,Wins: 144 (60.5%),1.2,310.9,TL Honda CoreJJ#1123,Challenger 1207 LP
2.5/5.7/13.4,Support,Wins: 91 (53.2%),1.1,313.41999999999996,vx sasikiran00#ran,GrandMaster 338 LP
7.0/5.7/6.3,AD Carry,Wins: 83 (56.1%),7.56,530.22,Hurricane#1,GrandMaster 304 LP
1.8/6.1/14.8,Support,Wins: 142 (56.8%),1.06,291.74,Kral Only35#03535,Challenger 1025 LP
1.7/4.0/12.7,Support,Wins: 222 (51.2%),2.16,302.06000000000006,Gargoylez#goyle,GrandMaster 441 LP
6.8/4.9/6.2,Top,Wins: 80 (64.0%),7.44,456.93999999999994,XCMXCMXCM#XCM,Challenger 635 LP
8.8/5.6/8.0,Jungler,Wins: 72 (68.6%),6.139999999999999,455.14000000000004,chovyness#bilu,GrandMaster 505 LP
4.3/4.8/7.4,Mid,Wins: 56 (62.9%),7.839999999999999,513.26,GALAVIPERGUMA#BR1,GrandMaster 381 LP
8.4/5.4/11.3,Jungler,Wins: 46 (68.7%),3.72,559.0800000000002,ROKUOGAN#PE1,GrandMaster 329 LP
7.0/4.7/7.0,Mid,Wins: 139 (54.3%),7.7,448.93999999999994,EL GOLEM#BR1,GrandMaster 435 LP
6.2/4.6/7.6,Mid,Wins: 219 (55.0%),8.040000000000001,458.34,Grevthar#BRA1,Challenger 1121 LP
7.3/5.5/7.9,AD Carry,Wins: 139 (53.7%),6.92,458.84,Casual Ezreal#Polk,GrandMaster 204 LP
6.7/4.2/6.8,AD Carry,Wins: 302 (53.7%),8.68,479.06000000000006,sad and bad#CN3,Challenger 938 LP
2.8/5.2/17.6,Support,Wins: 175 (57.5%),3.5,421.7200000000001,Quantum#BR2,Challenger 1109 LP
N/A,N/A,N/A,N/A,N/A,sparck#gado,GrandMaster N/A LP
6.7/5.5/5.3,Top,Wins: 77 (56.6%),7.960000000000001,473.41999999999996,Anthony Clifford#NA2,Master 215 LP
5.9/4.4/5.7,Top,Wins: 153 (54.1%),7.7,453.53999999999996,Dhokla#NA1,GrandMaster 567 LP
7.2/6.2/8.6,Jungler,Wins: 181 (56.0%),6.180000000000001,434.7200000000001,UCI duong pro#NA1,Challenger 815 LP
9.7/6.1/7.4,Jungler,Wins: 42 (54.5%),7.279999999999999,473.62000000000006,Kenvi#969,Master 66 LP
7.6/7.4/7.3,Mid,Wins: 82 (60.7%),6.779999999999999,447.26000000000005,Botlane Angel#NA1,Master 286 LP
5.6/5.9/9.3,Mid,Wins: 76 (58.0%),4.720000000000001,423.82,Tanimo#Nimo,GrandMaster 328 LP
7.1/4.9/9.2,Mid,Wins: 448 (49.2%),3.4400000000000004,358.52,Ahriin#NA1,Master 163 LP
6.1/4.9/6.7,AD Carry,Wins: 121 (53.3%),8.66,477.8,Tomo#0999,Master 249 LP
1.7/5.4/14.6,Support,Wins: 133 (53.6%),2.2399999999999998,312.9,Magnolia#0030,Master 281 LP
1.7/4.0/12.7,Support,Wins: 222 (51.2%),2.16,302.06000000000006,Gargoylez#goyle,GrandMaster 441 LP
3.8/5.0/8.7,Top,Wins: 131 (56.0%),3.7499999999999996,296.90000000000003,Paklaiton#NA1,Challenger 640 LP
5.3/4.7/4.0,Top,Wins: 128 (55.9%),6.660000000000001,404.21999999999997,doctor dinkis#001,Challenger 650 LP
6.9/4.5/7.6,Jungler,Wins: 112 (56.6%),5.64,507.66,NDJ#NA2,GrandMaster 448 LP
5.0/3.3/10.3,Jungler,Wins: 317 (50.7%),4.3,373.73999999999995,jamican banana#NA1,GrandMaster 528 LP
5.4/5.5/7.4,Mid,Wins: 139 (53.7%),5.08,391.6,last 6#NA1,GrandMaster 441 LP
9.0/4.4/6.3,AD Carry,Wins: 64 (72.4%),7.140000000000001,497.5400000000001,Kiqzend#9705,Master 130 LP
7.7/5.6/6.3,AD Carry,Wins: 127 (56.4%),8.979999999999999,507.84000000000003,Shogo#Shog,Challenger 540 LP
6.4/4.0/7.0,AD Carry,Wins: 193 (56.6%),8.3,467.34,Cody Sun#Aura,Challenger 1276 LP
1.8/6.1/14.8,Support,Wins: 142 (56.8%),1.06,291.74,Kral Only35#03535,Challenger 1025 LP
1.6/5.2/16.0,Support,Wins: 64 (72.4%),0.9,303.44,Yu Jimin#CN1,Master 130 LP
6.6/6.1/4.7,Top,Wins: 234 (49.4%),7.26,450.64000000000004,G I R O F L E X#8193,Diamond I 5 LP
5.8/7.0/6.0,Top,Wins: 108 (51.4%),6.9,421.06000000000006,Ares#LCK,Master 253 LP
8.6/5.8/8.9,AD Carry,Wins: 124 (58.5%),5.9799999999999995,479.21999999999997,ganjang2dong#5104,Challenger 822 LP
7.8/5.9/8.2,Jungler,Wins: 144 (52.2%),6.28,436.6,Gavin#BR2,Master 283 LP
6.2/5.4/8.3,Mid,Wins: 236 (51.6%),6.58,418.84000000000003,0k Boomer#BR1,GrandMaster 277 LP
6.2/4.6/7.6,Mid,Wins: 219 (55.0%),8.040000000000001,458.34,Grevthar#BRA1,Challenger 1121 LP
6.7/4.3/7.9,AD Carry,Wins: 55 (56.1%),6.7,463.68,Fael#OTRUE,Master 104 LP
6.9/6.8/7.3,AD Carry,Wins: 126 (52.5%),7.0600000000000005,427.4,mudin show#BR1,Master 257 LP
2.8/5.2/17.6,Support,Wins: 175 (57.5%),3.5,421.7200000000001,Quantum#BR2,Challenger 1109 LP
N/A,N/A,N/A,N/A,N/A,sparck#gado,GrandMaster N/A LP
5.4/5.5/7.4,Mid,Wins: 139 (53.7%),5.08,391.6,last 6#NA1,GrandMaster 441 LP
5.4/4.5/4.6,Top,Wins: 208 (54.9%),7.640000000000001,436.26000000000005,Haxorr TTV#HAXOR,Challenger 749 LP
7.5/4.8/8.3,Jungler,Wins: 104 (59.8%),7.159999999999999,474.74000000000007,Dino Nugget#Eris,GrandMaster 522 LP
8.8/4.5/6.5,Jungler,Wins: 188 (55.8%),7.12,460.06000000000006,Sheiden#0001,Challenger 1018 LP
7.3/5.6/7.0,AD Carry,Wins: 211 (53.8%),7.38,490.46000000000004,melke#0001,Challenger 794 LP
7.3/4.7/5.9,AD Carry,Wins: 111 (56.6%),7.859999999999999,455.8,Yang#adc1,GrandMaster 495 LP
6.4/4.0/7.0,AD Carry,Wins: 193 (56.6%),8.3,467.34,Cody Sun#Aura,Challenger 1276 LP
6.2/5.6/9.1,AD Carry,Wins: 107 (56.0%),6.58,459.17999999999995,qad#NA1,GrandMaster 358 LP
3.3/3.3/11.9,Support,Wins: 198 (55.2%),3.9,368.96000000000004,桃汁泡泡#eri,Challenger 704 LP
8.9/5.6/8.2,Jungler,Wins: 137 (63.0%),8.88,527.8199999999999,eDATERSgg#6969,Challenger 773 LP
8.9/6.3/4.2,Top,Wins: 61 (57.5%),7.280000000000001,425.21999999999997,S1Vayne#NA1,Master 57 LP
5.9/4.4/5.7,Top,Wins: 153 (54.1%),7.7,453.53999999999996,Dhokla#NA1,GrandMaster 567 LP
7.5/5.5/8.9,Jungler,Wins: 48 (57.1%),6.28,450.4999999999999,Bio#023,Master 80 LP
9.9/7.2/4.7,AD Carry,Wins: 210 (55.0%),6.92,447.4,Sandra Kubicka#NA1,Master 233 LP
7.1/5.7/7.8,Mid,Wins: 48 (64.0%),7.3199999999999985,456.1,我会等待我会思考#WHITE,Master 82 LP
5.2/4.3/6.0,Mid,Wins: 120 (55.6%),7.26,407.06000000000006,Hlde On Bush#KRR,GrandMaster 414 LP
6.6/4.4/6.4,AD Carry,Wins: 97 (56.4%),7.779999999999999,435.8,joyboy#adc,GrandMaster 425 LP
9.0/4.4/6.3,AD Carry,Wins: 64 (72.4%),7.140000000000001,497.5400000000001,Kiqzend#9705,Master 130 LP
2.0/5.0/14.7,Support,Wins: 100 (64.1%),1.1,291.48,JT is back#s15,Challenger 428 LP
