most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,division,rank,lp,games_won,kills,death,assists
Jungler,63.9,6.44,433.52,나는 고발한다#정글러,GrandMaster,,359,46,6.8,4.1,8.5
Mid,51.2,6.98,481.74000000000007,小熊软糖#Cattt,Challenger,,191,144,7.0,4.8,7.5
Mid,52.5,7.24,430.72,iybc9o2q#iybc9,GrandMaster,,394,180,6.1,4.8,6.9
AD Carry,57.0,8.34,476.2,Levitate#1v9,Challenger,,850,158,7.2,5.1,7.2
AD Carry,63.4,7.779999999999999,477.54,Gen Anchovy#TWIG,Master,,229,52,6.4,4.0,6.3
AD Carry,52.6,6.6,430.58,소년가장 원딜#2000,GrandMaster,,275,161,5.3,4.3,8.3
Mid,62.6,7.779999999999999,454.2600000000001,flocon#FRK,Challenger,,1154,119,6.8,4.7,7.7
Top,50.0,4.68,348.22,Bornn Again#Ornn,Master,,103,222,3.5,3.5,8.5
Top,64.1,8.040000000000001,514.08,never type#1998,Master,,184,82,7.1,3.6,4.9
Jungler,59.2,7.7,492.6,U invade I int#NA1,Master,,129,61,10.1,4.2,6.4
Jungler,56.6,5.64,507.66,NDJ#NA2,GrandMaster,,448,112,6.9,4.5,7.6
Mid,50.9,6.480000000000001,399.46,Scaling is OP#NA1,GrandMaster,,432,404,5.3,5.9,7.0
Mid,58.7,7.480000000000001,421.82,애니비아#艾尼维亚,Master,,119,61,5.8,5.1,6.4
AD Carry,53.8,7.58,450.16,M5 CS#0005,Master,,73,101,6.5,4.8,7.3
AD Carry,52.5,6.8,433.9,Jerebleu#NA1,Diamond,1.0,71,94,6.8,5.8,7.2
Support,50.6,0.94,279.54,Love Lulu#NA2,Master,,51,126,1.8,3.5,12.7
Support,49.0,1.0,298.0,Meeps#TRV,Master,,46,117,3.0,4.9,11.8
Top,64.1,8.040000000000001,514.08,never type#1998,Master,,184,82,7.1,3.6,4.9
Top,56.0,3.75,296.90000000000003,Paklaiton#NA1,Challenger,,640,131,3.8,5.0,8.7
Jungler,63.9,6.44,433.52,나는 고발한다#정글러,GrandMaster,,359,46,6.8,4.1,8.5
Jungler,59.0,7.2,495.2,kano#chama,GrandMaster,,333,130,8.8,5.0,7.5
Mid,51.6,6.38,423.16,Manivia#E175,Master,,142,142,5.6,4.2,7.2
Mid,61.3,7.540000000000001,471.2,小山丘#6572,Challenger,,598,111,7.1,4.7,7.3
AD Carry,57.3,7.5,470.18,Seishiro Nagi#2002,GrandMaster,,405,142,7.5,6.0,7.5
AD Carry,53.9,7.52,447.56000000000006,refugo#4526,Master,,233,104,6.8,5.0,7.1
Support,50.9,0.94,295.34000000000003,Beep#Heart,GrandMaster,,245,259,2.2,4.7,13.2
Support,64.4,1.2000000000000002,316.48,IamaNewby#NA1,Master,,0,47,3.6,4.8,12.7
Top,60.8,7.44,423.04,抖音薇信tonytoppwd#pwdd,GrandMaster,,535,87,5.1,4.2,5.5
Top,54.1,7.7,453.54,Dhokla#NA1,GrandMaster,,567,153,5.9,4.4,5.7
Jungler,56.5,5.720000000000001,452.4,superfastmonkey#NA1,Master,,39,48,7.4,5.1,8.7
Jungler,59.8,7.159999999999999,474.74000000000007,Dino Nugget#Eris,GrandMaster,,522,104,7.5,4.8,8.3
Jungler,63.0,8.88,527.8199999999999,eDATERSgg#6969,Challenger,,773,137,8.9,5.6,8.2
Mid,54.6,6.98,449.48,Delights Garden#TTV,GrandMaster,,427,232,7.0,6.0,7.5
AD Carry,51.7,4.46,381.3,a daydreamer#MK1,GrandMaster,,426,216,5.8,5.6,8.2
Support,56.1,2.8,333.05999999999995,Cinnamoroll#Candy,Master,,271,96,2.7,5.6,12.4
Support,53.5,5.24,392.46,Capta1n Peace#GGs,Challenger,,447,162,2.1,5.1,12.8
Support,58.6,1.38,310.08000000000004,TheJakourt#8888,GrandMaster,,533,102,3.5,5.4,14.1
Top,60.8,7.44,423.04,抖音薇信tonytoppwd#pwdd,GrandMaster,,535,87,5.1,4.2,5.5
Top,54.1,7.7,453.54,Dhokla#NA1,GrandMaster,,567,153,5.9,4.4,5.7
Jungler,56.9,6.94,467.86,Tabipowi#6191,Master,,206,112,8.6,5.7,7.6
Jungler,55.3,7.340000000000001,419.96,lolfc1#NA1,GrandMaster,,319,131,6.3,5.2,7.6
Mid,57.5,8.14,455.58,City of Tears#NA2,GrandMaster,,303,96,8.0,4.9,5.7
Mid,60.6,7.06,421.9200000000001,sweeho#999,GrandMaster,,539,86,6.2,5.2,7.6
AD Carry,55.4,7.26,463.2,Yabyinda#lovie,GrandMaster,,482,118,7.1,6.2,5.8
AD Carry,55.4,7.3,442.95,LL TRIGGER#55555,Master,,221,82,8.1,5.1,6.9
Support,58.6,2.4799999999999995,335.74,FrostedCupcake#8103,Master,,142,51,3.3,4.9,11.8
Support,54.3,2.24,325.8,Sabo#0000,Master,,217,158,2.7,5.5,11.4
Top,54.1,7.7,453.54,Dhokla#NA1,GrandMaster,,567,153,5.9,4.4,5.7
Top,73.0,8.0,472.62,support come top#NA2,Challenger,,1104,81,7.6,3.7,5.4
Jungler,56.9,6.340000000000001,440.58,Icelandic Hero#ice,Challenger,,842,156,6.4,4.8,9.8
Jungler,54.4,6.659999999999999,444.4,Breathe#fear,Challenger,,473,166,6.7,4.2,7.6
Mid,53.7,5.08,391.6,last 6#NA1,GrandMaster,,441,139,5.4,5.5,7.4
Support,60.5,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1207,144,3.0,5.3,13.4
Support,53.2,1.1,313.42,vx sasikiran00#ran,GrandMaster,,338,91,2.5,5.7,13.4
AD Carry,56.1,7.56,530.22,Hurricane#1,GrandMaster,,304,83,7.0,5.7,6.3
Support,56.8,1.06,291.74,Kral Only35#03535,Challenger,,1025,142,1.8,6.1,14.8
Support,51.2,2.16,302.06000000000006,Gargoylez#goyle,GrandMaster,,441,222,1.7,4.0,12.7
Top,64.0,7.44,456.94,XCMXCMXCM#XCM,Challenger,,635,80,6.8,4.9,6.2
Jungler,68.6,6.139999999999999,455.14,chovyness#bilu,GrandMaster,,505,72,8.8,5.6,8.0
Mid,62.9,7.839999999999999,513.26,GALAVIPERGUMA#BR1,GrandMaster,,381,56,4.3,4.8,7.4
Jungler,68.7,3.72,559.0800000000002,ROKUOGAN#PE1,GrandMaster,,329,46,8.4,5.4,11.3
Mid,54.3,7.7,448.94,EL GOLEM#BR1,GrandMaster,,435,139,7.0,4.7,7.0
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
AD Carry,53.7,6.92,458.84,Casual Ezreal#Polk,GrandMaster,,204,139,7.3,5.5,7.9
AD Carry,53.7,8.68,479.06000000000006,sad and bad#CN3,Challenger,,938,302,6.7,4.2,6.8
Support,57.5,3.5,421.7200000000001,Quantum#BR2,Challenger,,1109,175,2.8,5.2,17.6
,,,,sparck#gado,GrandMaster,,N/A,,,,
Top,56.6,7.960000000000001,473.42,Anthony Clifford#NA2,Master,,215,77,6.7,5.5,5.3
Top,54.1,7.7,453.54,Dhokla#NA1,GrandMaster,,567,153,5.9,4.4,5.7
Jungler,56.0,6.180000000000001,434.7200000000001,UCI duong pro#NA1,Challenger,,815,181,7.2,6.2,8.6
Jungler,54.5,7.279999999999999,473.62000000000006,Kenvi#969,Master,,66,42,9.7,6.1,7.4
Mid,60.7,6.779999999999999,447.2600000000001,Botlane Angel#NA1,Master,,286,82,7.6,7.4,7.3
Mid,58.0,4.720000000000001,423.82,Tanimo#Nimo,GrandMaster,,328,76,5.6,5.9,9.3
Mid,49.2,3.4400000000000004,358.52,Ahriin#NA1,Master,,163,448,7.1,4.9,9.2
AD Carry,53.3,8.66,477.8,Tomo#0999,Master,,249,121,6.1,4.9,6.7
Support,53.6,2.24,312.9,Magnolia#0030,Master,,281,133,1.7,5.4,14.6
Support,51.2,2.16,302.06000000000006,Gargoylez#goyle,GrandMaster,,441,222,1.7,4.0,12.7
Top,56.0,3.75,296.90000000000003,Paklaiton#NA1,Challenger,,640,131,3.8,5.0,8.7
Top,55.9,6.660000000000001,404.22,doctor dinkis#001,Challenger,,650,128,5.3,4.7,4.0
Jungler,56.6,5.64,507.66,NDJ#NA2,GrandMaster,,448,112,6.9,4.5,7.6
Jungler,50.7,4.3,373.74,jamican banana#NA1,GrandMaster,,528,317,5.0,3.3,10.3
Mid,53.7,5.08,391.6,last 6#NA1,GrandMaster,,441,139,5.4,5.5,7.4
AD Carry,72.4,7.140000000000001,497.5400000000001,Kiqzend#9705,Master,,130,64,9.0,4.4,6.3
AD Carry,56.4,8.979999999999999,507.84,Shogo#Shog,Challenger,,540,127,7.7,5.6,6.3
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
Support,56.8,1.06,291.74,Kral Only35#03535,Challenger,,1025,142,1.8,6.1,14.8
Support,72.4,0.9,303.44,Yu Jimin#CN1,Master,,130,64,1.6,5.2,16.0
Top,49.4,7.26,450.64,G I R O F L E X#8193,Diamond,1.0,5,234,6.6,6.1,4.7
Top,51.4,6.9,421.06000000000006,Ares#LCK,Master,,253,108,5.8,7.0,6.0
AD Carry,58.5,5.98,479.22,ganjang2dong#5104,Challenger,,822,124,8.6,5.8,8.9
Jungler,52.2,6.28,436.6,Gavin#BR2,Master,,283,144,7.8,5.9,8.2
Mid,51.6,6.58,418.84,0k Boomer#BR1,GrandMaster,,277,236,6.2,5.4,8.3
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
AD Carry,56.1,6.7,463.68,Fael#OTRUE,Master,,104,55,6.7,4.3,7.9
AD Carry,52.5,7.0600000000000005,427.4,mudin show#BR1,Master,,257,126,6.9,6.8,7.3
Support,57.5,3.5,421.7200000000001,Quantum#BR2,Challenger,,1109,175,2.8,5.2,17.6
,,,,sparck#gado,GrandMaster,,N/A,,,,
Mid,53.7,5.08,391.6,last 6#NA1,GrandMaster,,441,139,5.4,5.5,7.4
Top,54.9,7.640000000000001,436.2600000000001,Haxorr TTV#HAXOR,Challenger,,749,208,5.4,4.5,4.6
