most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,division,rank,lp,games_won,kills,death,assists
Jungler,61.0,7.380000000000001,489.7200000000001,Sephno#NA1,Diamond,2.0,3,25,9.8,6.8,6.2
Jungler,63.3,5.46,525.1200000000001,Outcast#971,Diamond,1.0,2,32,7.1,5.1,9.4
Mid,49.4,5.68,362.94,Frosty#Tal,Diamond,1.0,77,116,4.8,5.6,7.7
AD Carry,50.0,6.660000000000001,413.32,Mage#APC,Master,,37,132,5.1,4.6,8.6
Support,59.4,3.56,391.62,ENTHRALLED#999,GrandMaster,,553,82,4.5,6.2,11.2
AD Carry,47.6,3.64,343.26000000000005,Sensational#Art,Diamond,1.0,48,282,3.6,4.4,9.9
AD Carry,50.2,6.3,477.9,谁言天地宽 卧槽viper3#blue,Diamond,1.0,1,146,4.8,5.0,8.0
Support,57.5,1.2599999999999998,318.32,Biofrost#23974,GrandMaster,,492,123,3.1,5.3,13.1
Top,53.0,4.94,468.36,Thomas#99999,Master,,453,140,5.0,4.0,9.7
,,,,e7c3c0fd-cee3-4399-877b-baf89c9f6f46#EUW,Challenger,,N/A,,,,
Jungler,63.6,7.220000000000001,440.3,love u dog#DOG,Challenger,,808,96,6.4,5.2,9.1
Mid,55.9,7.479999999999999,474.62,Fabi#520,GrandMaster,,527,138,6.2,4.9,7.9
Mid,69.0,8.16,481.98,HusumLOL#EUW,Master,,217,49,7.0,3.8,9.4
Mid,53.7,7.82,437.4599999999999,Zwyrøø#soul,Challenger,,828,271,5.8,4.1,6.7
Mid,57.1,6.98,505.24000000000007,Odysseus#131,Challenger,,914,153,7.4,5.3,8.2
AD Carry,67.7,8.78,545.8399999999999,시시포스#0000,GrandMaster,,528,88,8.5,5.4,6.8
Support,58.2,1.1,304.98,Wrongo#1234,Challenger,,895,145,2.1,5.9,14.5
AD Carry,55.2,4.58,429.56,Bebs#EUW,Master,,360,100,9.5,5.6,8.9
Mid,56.1,6.92,470.14,Detention#NA1,Master,,229,87,7.7,6.3,6.9
Top,52.5,5.42,455.24,Shepherd of Elo#NA1,Master,,2,62,3.2,5.1,4.1
Jungler,61.1,7.3,432.82,Nightbladetwo#NOC,Master,,91,43,7.1,4.4,6.9
Mid,48.9,7.18,409.54,In Rainbows#NA2,Diamond,1.0,4,110,5.0,4.6,6.5
Mid,60.9,7.239999999999999,431.42,n2thng evr hppnz#200,GrandMaster,,392,92,7.5,5.8,6.3
Mid,62.9,7.659999999999999,500.44,the pob#NA1,GrandMaster,,323,44,7.2,5.6,7.2
AD Carry,50.3,6.860000000000001,418.84,Improve Only#NA1,GrandMaster,,174,159,6.6,5.8,7.2
Mid,53.1,6.56,397.8,Alex94536#0000,Master,,172,85,4.9,4.0,7.4
Support,49.9,0.78,285.66,Small Fluffy Cat#uwu,Master,,76,201,1.7,4.6,13.9
Support,54.6,1.1800000000000002,308.02,DDOSS#NA1,GrandMaster,,284,105,2.6,4.1,12.5
Top,55.2,5.720000000000001,467.02,Cabex#EUW,Challenger,,817,195,4.5,4.5,7.4
Top,59.0,7.1,414.02,Vizícsacsi#EUW,Challenger,,1208,173,5.5,5.0,7.1
Jungler,60.5,7.220000000000001,461.68,naau1#EUW,Challenger,,747,107,7.7,3.9,8.1
Jungler,59.9,6.88,465.2,JeanJaqueDeRouen#jjdr,GrandMaster,,787,115,8.9,4.9,6.9
Mid,58.6,7.44,447.42,alix de souza#1111,Challenger,,1322,188,6.3,5.6,6.7
Mid,56.0,7.68,473.12000000000006,WashedMidlaner#chaD,GrandMaster,,589,131,6.3,4.6,7.2
AD Carry,54.8,8.5,492.42,JEZUUU#0814,Challenger,,892,183,8.1,4.1,6.8
AD Carry,57.7,8.4,477.88,Unkn0wn#EUW11,Challenger,,1368,218,6.9,5.2,6.9
Support,52.7,1.04,302.46,Paixdia#Supp,Challenger,,852,331,2.8,5.5,13.9
Support,62.3,3.45,333.9,Knurble#5105,Challenger,,759,119,3.6,4.3,12.7
Top,50.3,7.339999999999999,458.48,Hurrakana#Hurra,Master,,44,160,5.6,4.7,3.8
Top,64.5,7.5,434.64,Balrog1177#EUW,Master,,328,60,6.0,4.0,5.6
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
Jungler,51.9,5.84,599.22,Daraèn#123,Master,,265,150,8.8,6.7,6.8
Mid,64.1,7.24,465.5799999999999,19091999#EUW,Master,,106,50,5.4,3.9,6.8
Mid,53.0,7.3,442.82,Camana#002,Master,,218,132,6.2,5.7,6.9
AD Carry,51.0,6.18,478.78,Floffort#EUW,Challenger,,97,73,10.7,7.2,5.2
AD Carry,53.8,7.339999999999999,432.16,no chat sorry#adc,Master,,190,185,6.1,5.4,8.7
Support,53.3,1.06,293.80000000000007,Murmol#EUW,Master,,221,172,1.9,4.5,15.3
Support,49.8,1.02,287.46000000000004,chiemi#sweet,Master,,126,329,1.2,4.9,15.4
Top,68.2,6.340000000000001,459.0,Cute femcel#UwU,GrandMaster,,757,73,3.4,5.2,9.3
Top,54.0,7.159999999999999,423.48,无关风月丶#6666,Challenger,,1187,311,5.9,5.2,5.3
Mid,63.3,6.7,420.5,Lightdown#EUGG,GrandMaster,,772,95,6.1,4.0,8.3
,,,,capeu#009,GrandMaster,,N/A,,,,
Mid,53.7,8.26,449.98,Zhuo Ding#ARC,Challenger,,935,212,5.8,3.8,7.5
Mid,52.4,4.2,409.22,bert and lulu#BFJ,GrandMaster,,549,208,6.6,6.1,7.4
Mid,57.5,7.7,426.68,QloTrGeSdV#EUW,Challenger,,961,157,5.7,3.7,6.9
Mid,53.7,7.82,437.4599999999999,Zwyrøø#soul,Challenger,,828,271,5.8,4.1,6.7
Support,68.0,0.8400000000000001,315.4,refracted#acrid,GrandMaster,,540,104,6.0,5.5,12.5
Support,64.5,1.58,471.8200000000001,Canam#123,GrandMaster,,572,80,2.1,3.6,16.8
Top,62.9,7.6,452.14,哈哈哈哈哈哈#BUILT,Challenger,,920,112,6.5,4.3,4.6
Top,59.0,7.1,414.02,Vizícsacsi#EUW,Challenger,,1208,173,5.5,5.0,7.1
Jungler,58.5,6.18,438.8,Carnagε#EUW,Challenger,,1111,166,7.1,4.3,9.3
Jungler,59.4,7.040000000000001,410.9999999999999,Chris#102,Challenger,,913,130,5.4,4.7,10.8
Mid,55.3,7.62,470.94,XXXXXXXXY1#EUW,Challenger,,1212,251,7.6,5.5,5.5
Mid,55.1,7.82,447.0400000000001,Guts#1794,Challenger,,952,237,6.6,4.8,6.3
AD Carry,57.7,8.4,477.88,Unkn0wn#EUW11,Challenger,,1368,218,6.9,5.2,6.9
AD Carry,55.6,7.5,492.5,Bench Queen#EUW,Challenger,,765,188,6.9,5.4,7.2
Support,55.0,1.14,325.4,I OnIy Hook U#EUW,GrandMaster,,731,197,3.5,5.5,13.1
Mid,58.6,7.44,447.42,alix de souza#1111,Challenger,,1322,188,6.3,5.6,6.7
Mid,54.6,2.72,642.4399999999999,N1CK#00001,Master,,240,90,5.8,3.2,10.4
Top,64.5,7.5,434.64,Balrog1177#EUW,Master,,328,60,6.0,4.0,5.6
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
Jungler,51.9,5.84,599.22,Daraèn#123,Master,,265,150,8.8,6.7,6.8
Mid,54.4,6.8,436.96,yuros#1205,Master,,411,196,8.2,5.5,7.5
AD Carry,53.8,7.859999999999999,444.34,Boncuk#EUW12,GrandMaster,,592,193,6.2,5.3,7.0
AD Carry,55.7,8.12,479.66,headhunterz#00047,Master,,329,103,8.7,5.0,6.7
AD Carry,52.1,6.0,482.06000000000006,Hanoukan#EUW,Master,,440,151,8.5,3.8,5.0
Support,54.5,0.92,279.16,LaisMax v2#EUW,Master,,481,165,1.5,5.6,13.9
Support,49.8,1.02,287.46000000000004,chiemi#sweet,Master,,126,329,1.2,4.9,15.4
Top,60.1,6.6,426.14,Falleo#Fall,GrandMaster,,571,104,5.1,4.0,5.6
Top,59.4,5.3,394.64,TheDisconnectTV#EUW,Challenger,,1014,152,2.8,4.0,10.9
Jungler,52.6,6.8,450.96,Jungle art#Krych,GrandMaster,,600,174,7.8,4.8,7.8
Jungler,75.0,6.5600000000000005,429.54,Stormaxx#EUW,GrandMaster,,495,45,6.8,3.7,9.5
Mid,53.7,7.82,437.4599999999999,Zwyrøø#soul,Challenger,,828,271,5.8,4.1,6.7
Mid,52.4,4.2,409.22,bert and lulu#BFJ,GrandMaster,,549,208,6.6,6.1,7.4
AD Carry,54.7,8.26,490.04,FlickeR#1337,GrandMaster,,645,168,7.1,5.1,7.6
AD Carry,51.2,6.56,419.84,Certified Random#EUW,GrandMaster,,438,226,6.9,6.3,6.9
Support,68.0,0.8400000000000001,315.4,refracted#acrid,GrandMaster,,540,104,6.0,5.5,12.5
Support,54.6,0.9,300.36,LiL TommyG#EUW,Challenger,,921,241,2.4,5.0,16.0
Top,70.8,6.1,494.44,godKatyPerry#kicha,Diamond,4.0,0,46,7.6,4.3,4.9
Top,54.8,7.12,418.04,Nary v2#EUW,Master,,0,63,4.8,4.3,5.4
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
Jungler,57.6,6.24,411.86,ZacoiPT13#EUW,Master,,212,110,5.9,4.1,11.1
Mid,64.7,4.86,371.82,juneiperb0i#66666,Diamond,4.0,10,44,9.2,4.4,5.2
Mid,52.3,6.300000000000001,428.3,Pascal Praud#CNEWS,Master,,156,139,6.7,5.3,6.2
AD Carry,53.8,7.779999999999999,458.34,Christianity#Pray,GrandMaster,,450,141,7.7,4.7,6.0
AD Carry,52.3,7.82,456.6,Nuokii#3561,Master,,149,149,6.9,4.3,6.8
Support,52.4,1.06,318.64,Maskdak#EUW,Master,,243,141,3.4,6.3,13.9
Support,53.9,0.98,288.66,kwebz1#LOW,Master,,181,103,2.5,7.1,16.9
Top,59.0,7.1,414.02,Vizícsacsi#EUW,Challenger,,1208,173,5.5,5.0,7.1
Top,66.1,8.14,461.44,Akiyoshi#EUW,GrandMaster,,678,76,5.7,3.9,5.6
Jungler,65.6,6.94,458.46,Erithacus rubecu#69139,Challenger,,886,99,7.7,3.8,8.6
Jungler,58.5,6.18,438.8,Carnagε#EUW,Challenger,,1111,166,7.1,4.3,9.3
Mid,58.6,7.44,447.42,alix de souza#1111,Challenger,,1322,188,6.3,5.6,6.7
Mid,55.3,7.62,470.94,XXXXXXXXY1#EUW,Challenger,,1212,251,7.6,5.5,5.5
AD Carry,67.7,8.78,545.8399999999999,시시포스#0000,GrandMaster,,528,88,8.5,5.4,6.8
AD Carry,66.4,7.4,497.52,Decebalus#White,Challenger,,979,140,10.8,6.0,5.2
Support,62.3,2.02,350.28000000000003,진홍색 하늘#Efias,Challenger,,1073,142,3.1,5.5,14.4
Support,54.8,0.98,290.26000000000005,Veignorem#EUW,Challenger,,785,195,2.4,4.9,13.9
Top,55.7,7.68,445.8,Egyptien Sucré#HAL,GrandMaster,,760,165,6.2,6.0,6.0
Top,53.4,7.339999999999999,409.1,Cobrakai#1111,Master,,321,166,4.2,3.2,4.7
Jungler,53.8,6.38,445.82,CanyonsSon#KOREA,GrandMaster,,510,169,6.9,5.6,8.4
Jungler,58.5,7.4,493.14,æææ#12345,GrandMaster,,538,96,10.3,5.5,8.7
Mid,54.3,6.040000000000001,440.88,Astrosine#EUW,GrandMaster,,531,158,8.2,5.1,5.1
Mid,53.1,7.959999999999999,441.0400000000001,Jonathan Bailey#zzz,Challenger,,675,173,5.8,4.9,6.9
Mid,53.7,7.82,437.4599999999999,Zwyrøø#soul,Challenger,,818,271,5.8,4.1,6.7
Support,57.4,2.76,318.26,Azzapp#31415,Challenger,,795,147,5.4,5.1,10.0
Support,60.2,0.9399999999999998,314.78000000000003,Lauxio#2246,GrandMaster,,519,77,2.2,4.2,14.4
Support,57.1,1.04,313.5,Gordinho#24805,GrandMaster,,590,132,2.6,5.7,13.5
Top,52.4,7.06,404.68,C7C7C7C7C7C7C7#seven,GrandMaster,,627,304,4.8,4.0,5.9
Top,63.0,7.866666666666667,446.1666666666667,anchxo#puca,Master,,308,58,7.4,5.8,5.3
Jungler,54.4,6.9,450.2,WHATSYOURORDER#MCD,GrandMaster,,694,181,6.8,4.9,8.1
Jungler,51.3,7.479999999999999,446.62,saccarat#EUW,GrandMaster,,399,255,6.5,3.3,6.3
Mid,59.8,6.98,436.82,LAMA SGArkahus#EUW,Master,,384,76,6.2,5.6,8.2
Mid,52.0,7.5,409.14,TheWanderingPro#TTV,Master,,274,222,5.5,5.6,6.1
AD Carry,55.0,6.279999999999999,436.16,em thích bốn#4444,Master,,220,60,6.5,5.0,7.5
AD Carry,54.7,8.860000000000001,487.92,3XA#ERA,Challenger,,721,205,7.3,4.1,6.8
Support,51.2,0.9000000000000001,310.68,Colden#001,Master,,402,234,3.6,6.1,13.0
Support,60.3,2.34,587.4,pyke4132#CNT,Master,,340,85,7.8,7.3,9.9
Top,59.0,7.1,414.02,Vizícsacsi#EUW,Challenger,,1208,173,5.5,5.0,7.1
Top,63.7,7.479999999999999,434.64,Ł354#EUW,Challenger,,861,93,6.1,3.9,6.9
Jungler,57.9,7.0,441.32,HotGuy6Pack#MUTE,Challenger,,1366,209,6.4,3.2,9.3
Jungler,54.6,7.220000000000001,432.9,Agurin#EUW,Challenger,,1234,257,5.9,4.7,7.9
Mid,55.2,8.24,466.5,LR Nemesis#LRAT,Challenger,,1088,207,5.6,4.4,6.9
Mid,55.3,7.8,445.7600000000001,ttv ronaldoo#123,Challenger,,1214,266,6.1,4.8,8.1
AD Carry,53.7,7.68,469.7799999999999,Kenal#EUW,Challenger,,906,279,6.8,5.2,8.1
AD Carry,55.4,8.24,484.24,ANDARIEL#1411,Challenger,,879,219,7.7,4.7,6.9
Support,68.0,0.8400000000000001,315.4,refracted#acrid,GrandMaster,,540,104,6.0,5.5,12.5
Support,59.3,0.9,300.66,Walid Georgey#EUW,Challenger,,1364,185,2.1,4.3,14.3
Top,59.0,7.1,414.02,Vizícsacsi#EUW,Challenger,,1208,173,5.5,5.0,7.1
Jungler,52.9,6.48,428.8,IBO ASLAN#TURK,Challenger,,935,307,6.8,5.4,7.8
Jungler,57.1,6.14,407.32,dejfDawid1#EUW,Challenger,,1016,189,5.3,4.5,9.3
Jungler,54.6,7.220000000000001,432.9,Agurin#EUW,Challenger,,1234,257,5.9,4.7,7.9
Mid,54.3,8.180000000000001,461.84,2006y1337#1481,Challenger,,829,232,6.5,4.4,6.7
Mid,58.3,7.56,460.9,Kamiloo#EUW,Challenger,,1114,148,7.1,5.4,6.5
Mid,61.2,7.2,470.38,나프켈라#BOAT,Challenger,,1105,128,7.4,5.7,7.4
AD Carry,54.7,8.860000000000001,487.92,3XA#ERA,Challenger,,721,205,7.3,4.1,6.8
Support,54.8,2.62,312.5,Biotic#123,GrandMaster,,763,215,1.5,5.7,15.3
Support,51.8,0.86,303.38,D X D X D X#L AMI,GrandMaster,,447,201,4.1,6.5,12.5
Top,59.0,7.1,414.02,Vizícsacsi#EUW,Challenger,,1208,173,5.5,5.0,7.1
Top,67.6,8.0,476.24,stardewvalley67#EUW,Challenger,,961,92,6.8,5.1,5.1
Jungler,57.1,6.14,407.32,dejfDawid1#EUW,Challenger,,1016,189,5.3,4.5,9.3
Jungler,54.6,7.220000000000001,432.9,Agurin#EUW,Challenger,,1234,257,5.9,4.7,7.9
Mid,55.3,7.62,470.94,XXXXXXXXY1#EUW,Challenger,,1212,251,7.6,5.5,5.5
Mid,61.2,7.2,470.38,나프켈라#BOAT,Challenger,,1105,128,7.4,5.7,7.4
AD Carry,53.7,8.14,446.92,THE GREATEST#xanny,Challenger,,853,248,5.3,3.8,8.0
AD Carry,57.7,8.4,477.88,Unkn0wn#EUW11,Challenger,,1368,218,6.9,5.2,6.9
Support,55.2,2.16,394.16,Hannover#EUW,Challenger,,803,181,4.0,6.9,13.3
Support,58.2,1.1,304.98,Wrongo#1234,Challenger,,895,145,2.1,5.9,14.5
Top,57.8,7.359999999999999,431.04,Maynter#EUW,Challenger,,1104,159,4.9,4.1,6.3
Top,54.7,7.76,426.14,smurfeee#OSRS,Challenger,,743,188,5.3,4.8,6.2
Jungler,54.8,6.2,413.78,Zanzarah#1996,Challenger,,874,210,5.4,4.8,9.9
Jungler,57.9,7.0,441.32,HotGuy6Pack#MUTE,Challenger,,1366,209,6.4,3.2,9.3
Mid,60.2,8.219999999999999,464.9,ThePowerOfEvil#EUW,Challenger,,1307,154,5.7,4.1,7.8
Mid,54.1,7.2,513.92,twitchtvAzureEUW#blue,GrandMaster,,590,200,7.1,2.9,4.8
AD Carry,60.2,8.78,485.16,avarice61#EUW,Challenger,,934,115,6.5,3.6,7.2
AD Carry,63.4,8.22,481.64,Soldier#0710,Challenger,,870,90,7.6,4.2,7.2
Support,74.6,1.42,367.3,zta#EUW,GrandMaster,,582,50,4.2,4.5,14.2
AD Carry,53.7,7.68,469.7799999999999,Kenal#EUW,Challenger,,906,279,6.8,5.2,8.1
Top,53.4,7.68,474.22,Ômori#BR1,Master,,118,102,6.1,5.8,6.0
Top,50.4,4.74,622.4800000000001,Meinhard#BR1,Diamond,1.0,18,67,6.7,5.5,5.9
Jungler,49.7,6.840000000000001,436.8,Minerva#BR1,Diamond,1.0,29,78,6.9,6.2,9.5
Jungler,60.2,5.96,478.5400000000001,cardio em casa#brnd,Master,,191,53,6.9,4.1,6.9
Mid,51.0,8.14,435.32,Maathe#BR1,Master,,250,228,6.1,2.8,6.3
Mid,56.4,6.720000000000001,413.84,Kakauyaya#BR1,Master,,118,190,6.4,4.1,7.2
Support,60.5,3.38,346.36,Forv3v#BR1,Diamond,1.0,27,49,4.0,5.4,11.0
AD Carry,49.5,7.42,451.6,Neymarcio#NNM,Diamond,1.0,14,110,7.2,5.6,6.6
Support,51.2,3.82,433.7600000000001,selton mello#bardo,Master,,26,62,3.0,4.3,14.6
Support,55.9,1.36,302.92,Loop#BR1,Master,,129,66,2.2,5.2,13.8
Top,60.0,7.56,425.42,i will fight#next,Challenger,,1167,145,5.3,4.9,6.7
Top,59.0,7.1,414.02,Vizícsacsi#EUW,Challenger,,1208,173,5.5,5.0,7.1
Jungler,52.6,5.84,395.12,Duckzuru#EZEZ,Challenger,,840,379,7.6,5.4,7.5
Jungler,61.3,6.8,456.54,Shαwn Frost#EUW,Challenger,,800,103,7.2,4.8,9.9
Mid,56.2,6.260000000000001,422.8,Javier#RITO,GrandMaster,,637,113,7.2,4.3,8.1
Mid,55.3,7.8,445.7600000000001,ttv ronaldoo#123,Challenger,,1214,266,6.1,4.8,8.1
AD Carry,66.5,8.979999999999999,506.0200000000001,KC NEXT ADKING#EUW,Challenger,,1255,109,7.5,4.1,7.2
AD Carry,56.5,7.859999999999999,467.7,Antonio#FORS,Challenger,,1172,265,6.9,4.6,8.4
Support,58.2,1.1,304.98,Wrongo#1234,Challenger,,895,145,2.1,5.9,14.5
Support,68.0,0.8400000000000001,315.4,refracted#acrid,GrandMaster,,540,104,6.0,5.5,12.5
Top,57.8,7.359999999999999,431.04,Maynter#EUW,Challenger,,1104,159,4.9,4.1,6.3
Top,63.5,8.059999999999999,442.54,Mudkip#Szygy,GrandMaster,,662,87,5.2,3.6,6.6
Jungler,63.6,7.220000000000001,440.3,love u dog#DOG,Challenger,,808,96,6.4,5.2,9.1
Jungler,56.8,7.220000000000001,436.72,Sinerias#EUW,Challenger,,1203,221,7.7,6.1,6.4
Mid,55.9,8.279999999999998,470.14,Sayn CHOKBAR 1#EUW,Challenger,,1264,236,6.9,4.8,6.4
Mid,60.2,8.219999999999999,464.9,ThePowerOfEvil#EUW,Challenger,,1307,154,5.7,4.1,7.8
AD Carry,63.4,8.22,481.64,Soldier#0710,Challenger,,870,90,7.6,4.2,7.2
AD Carry,53.7,8.14,446.92,THE GREATEST#xanny,Challenger,,853,248,5.3,3.8,8.0
Support,55.3,1.08,288.08000000000004,Hexom#BACK,GrandMaster,,629,193,2.1,5.1,13.8
Support,55.0,1.04,321.52000000000004,marlοn#EUW,GrandMaster,,666,180,4.2,5.1,13.1
Top,58.2,7.0200000000000005,422.98,Chance2Win#EUW,GrandMaster,,643,110,5.9,5.1,6.2
Top,49.6,6.76,399.12,Jyoos#EUW,Master,,21,118,4.7,5.1,5.1
Jungler,51.5,6.26,411.74,Paradasu V2#EUW,Master,,61,100,6.4,3.9,7.5
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
Mid,58.8,7.88,429.94,Smietanek#2137,Master,,43,68,7.4,4.8,5.3
Mid,51.5,7.82,449.32,Azuka#wincg,Master,,404,234,6.6,5.7,6.4
AD Carry,52.3,7.359999999999999,428.1,zeitnot#7149,Master,,367,169,6.2,5.8,7.8
AD Carry,53.5,7.339999999999999,429.44,Khalune#EUW,Master,,73,84,6.1,4.1,7.6
AD Carry,59.3,6.76,452.24,gul och blå#EUW,Master,,233,185,7.8,5.9,7.9
Support,82.0,1.16,355.7,Seaz#EUW,Master,,252,41,4.3,4.8,16.4
Mid,57.0,8.475,471.575,DesperateNasus#TWTV,Challenger,,808,166,5.8,3.1,5.6
Jungler,60.3,6.139999999999999,408.44,Stefannootje#EUW,Master,,223,94,4.9,5.2,10.0
Jungler,54.4,6.9,450.2,WHATSYOURORDER#MCD,GrandMaster,,694,181,6.8,4.9,8.1
Jungler,54.8,6.2,413.78,Zanzarah#1996,GrandMaster,,874,210,5.4,4.8,9.9
Mid,56.6,8.3,451.56000000000006,15 02 2022#EUW,Challenger,,877,174,5.8,5.4,6.0
Mid,57.5,7.7,426.68,QloTrGeSdV#EUW,Challenger,,961,157,5.7,3.7,6.9
AD Carry,55.4,8.24,484.24,ANDARIEL#1411,Challenger,,879,219,7.7,4.7,6.9
AD Carry,66.4,7.4,497.52,Decebalus#White,Challenger,,979,140,10.8,6.0,5.2
Support,67.4,1.26,332.72,Boat Crew 2#David,Challenger,,838,95,4.2,5.7,14.8
Jungler,53.4,4.98,384.42,Discord Diff#EUW,Challenger,,713,254,4.3,4.3,11.3
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
Jungler,50.9,7.219999999999999,453.94000000000005,wefkb#EUW,Master,,203,205,7.3,5.6,7.6
Jungler,51.9,5.860000000000001,421.28,NXT Hummelu#Hum,GrandMaster,,426,304,5.6,5.4,8.7
Jungler,52.9,6.0600000000000005,417.94000000000005,jg jg jg#333,Master,,462,189,6.1,4.4,9.2
Mid,53.3,8.059999999999999,480.92,Amarizo#EUW,Master,,465,195,7.4,4.8,5.5
Mid,59.6,7.279999999999999,422.38,sahira#EUW,GrandMaster,,612,143,6.2,6.6,7.6
AD Carry,52.3,7.359999999999999,428.1,zeitnot#7149,Master,,367,169,6.2,5.8,7.8
AD Carry,67.7,8.78,545.8399999999999,시시포스#0000,GrandMaster,,528,88,8.5,5.4,6.8
Support,52.8,0.8800000000000001,296.74,Inflated Support#Jesus,Master,,276,150,4.4,5.8,10.8
Support,58.7,3.58,382.04,Prowlers Kayn#EUW,GrandMaster,,526,84,3.5,4.8,13.5
Support,51.4,1.18,298.0,FakeJanuary1#EUW,Master,,347,249,1.9,4.9,14.4
Mid,53.9,7.06,448.1,Dajosik#EUW,Master,,169,111,6.9,5.9,6.6
Jungler,52.3,6.480000000000001,438.78,Hollywood Matze#EUW,GrandMaster,,510,280,7.0,4.8,7.5
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
Mid,61.1,6.68,451.16,EGΟ#EGΟ,Challenger,,269,69,9.6,7.6,6.4
Mid,52.2,7.82,418.62,thinKING#galio,Master,,252,180,3.9,4.3,9.0
AD Carry,55.9,7.979999999999999,477.56000000000006,Shun#2000,Master,,424,119,7.7,6.2,7.7
AD Carry,57.7,7.699999999999998,480.0,ViIIadsen#EUW,Master,,287,71,6.9,4.8,8.0
Support,54.1,1.12,295.38,Sorato Anraku#JPN,Master,,230,113,1.9,5.4,14.3
Support,52.8,0.8800000000000001,296.74,Inflated Support#Jesus,Master,,276,150,4.4,5.8,10.8
AD Carry,55.4,8.24,484.24,ANDARIEL#1411,Challenger,,879,219,7.7,4.7,6.9
Top,56.2,6.619999999999999,497.06000000000006,Sexy Bunnie#B07A,Master,,271,100,6.0,5.1,5.9
Jungler,56.6,4.6,625.9399999999999,ShakkOma#N94,GrandMaster,,471,90,6.2,4.5,8.1
Jungler,63.6,7.220000000000001,440.3,love u dog#DOG,Challenger,,808,96,6.4,5.2,9.1
Mid,53.7,7.82,437.4599999999999,Zwyrøø#soul,Challenger,,818,271,5.8,4.1,6.7
Mid,58.3,7.56,460.9,Kamiloo#EUW,Challenger,,1114,148,7.1,5.4,6.5
AD Carry,66.4,7.4,497.52,Decebalus#White,Challenger,,979,140,10.8,6.0,5.2
AD Carry,53.7,8.14,446.92,THE GREATEST#xanny,Challenger,,853,248,5.3,3.8,8.0
Support,66.7,2.32,324.06000000000006,support enjoyer#janna,GrandMaster,,531,70,1.8,4.5,16.1
Support,51.1,1.06,285.18,WP Suken#Orca,GrandMaster,,493,233,2.0,5.0,13.8
Top,54.4,7.3,437.4200000000001,latarsito#EUW,Master,,271,135,6.3,5.4,5.1
Top,54.0,6.98,414.0,handm#MENA,GrandMaster,,447,155,5.0,5.7,5.2
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
Jungler,75.8,8.02,485.3,脚本编写#EUW9,Master,,165,50,8.0,3.7,7.0
Mid,57.2,6.9,391.8,iRoxxzor#EUW,Master,,436,99,4.8,4.2,7.2
Mid,57.9,6.68,422.94000000000005,铃铛小番茄#777,GrandMaster,,548,235,6.8,5.2,5.6
Mid,51.9,7.52,445.02,Lesbian Who Bite#Meow,Master,,236,234,6.5,5.1,6.1
Jungler,51.6,6.2,417.86,MONKMONKMONKMONK#MONK,GrandMaster,,501,327,6.5,4.5,7.1
Support,53.1,2.7,403.04,Carlo#1212,Master,,347,189,1.5,3.4,15.8
Support,53.8,0.9,292.5200000000001,Stack Collector#EUW,Master,,387,147,2.3,4.2,13.6
Top,59.0,7.640000000000001,459.74,Relève toi fils#TOMBE,Master,,246,98,6.1,5.9,4.4
Top,55.9,6.840000000000001,443.9599999999999,kiryu#EUW2,Master,,233,100,5.0,4.9,6.7
Jungler,53.4,4.98,384.42,Discord Diff#EUW,Challenger,,713,254,4.3,4.3,11.3
Jungler,57.9,6.359999999999999,456.9599999999999,Koldo#1233,Challenger,,998,169,8.2,4.6,9.2
Jungler,59.9,6.88,465.2,JeanJaqueDeRouen#jjdr,GrandMaster,,787,115,8.9,4.9,6.9
Jungler,57.6,7.659999999999999,426.8,Dragorim#QQQQQ,GrandMaster,,502,110,7.1,4.8,7.7
Mid,53.7,7.82,437.4599999999999,Zwyrøø#soul,Challenger,,818,271,5.8,4.1,6.7
AD Carry,54.7,8.860000000000001,487.92,3XA#ERA,Challenger,,721,205,7.3,4.1,6.8
Support,60.9,2.44,299.72,Uvynonr#EUW,GrandMaster,,670,98,2.3,4.5,14.9
Support,55.5,0.94,291.73999999999995,SteeelBacK#317,GrandMaster,,499,172,2.1,5.5,13.9
Mid,61.4,6.6,398.42,Satoru Akefu#777,Master,,150,82,5.0,4.0,7.8
Mid,54.9,7.719999999999999,422.94,Papadox#EUWU,Master,,171,117,5.2,5.4,4.6
Jungler,51.5,6.859999999999999,439.94,Rhan#EUW,Master,,45,158,7.5,5.2,7.9
Jungler,53.2,7.039999999999999,471.4200000000001,Curling Captain#EUW,Master,,429,158,6.8,5.1,8.5
